group,club_pair,pair_count,purity
Other (Men's),liverpool ↔ manchester city,1385,0.36173285198555954
Other (Men's),chelsea ↔ liverpool,1217,0.3360723089564503
Other (Men's),liverpool ↔ reds,1090,0.344954128440367
Other (Men's),liverpool ↔ manchester united,1055,0.38957345971563984
Other (Men's),chelsea ↔ manchester city,1011,0.34223541048466866
Other (Men's),chelsea ↔ manchester united,912,0.34978070175438597
Other (Men's),manchester city ↔ manchester united,897,0.34225195094760313
Other (Men's),barcelona ↔ real madrid,884,0.2420814479638009
Other (Men's),blues ↔ chelsea,788,0.35406091370558374
Other (Men's),barca ↔ barcelona,760,0.29210526315789476
Other (Men's),liverpool ↔ real madrid,751,0.2982689747003995
Other (Men's),manchester city ↔ real madrid,705,0.2794326241134752
Other (Men's),arsenal ↔ liverpool,698,0.4054441260744986
Other (Men's),barcelona ↔ manchester city,668,0.22305389221556887
Other (Men's),arsenal ↔ chelsea,640,0.4
Other (Men's),arsenal ↔ manchester city,631,0.3993660855784469
Other (Men's),chelsea ↔ tottenham,623,0.3739967897271268
Other (Men's),manchester united ↔ tottenham,614,0.35993485342019543
Other (Men's),manchester united ↔ real madrid,611,0.2602291325695581
Other (Men's),paris saint-germain ↔ psg,606,0.3102310231023102
Other (Men's),paris saint-germain ↔ real madrid,603,0.31343283582089554
Other (Men's),chelsea ↔ real madrid,593,0.2917369308600337
Other (Men's),liverpool ↔ tottenham,576,0.3784722222222222
Other (Men's),barcelona ↔ chelsea,556,0.24280575539568344
Other (Men's),psg ↔ real madrid,553,0.3453887884267631
Other (Men's),barcelona ↔ liverpool,550,0.24
Other (Men's),arsenal ↔ manchester united,545,0.4073394495412844
Other (Men's),bayern munich ↔ liverpool,535,0.23551401869158878
Other (Men's),barcelona ↔ bayern munich,533,0.20825515947467166
Other (Men's),manchester city ↔ tottenham,525,0.37523809523809526
Other (Men's),chelsea ↔ everton,512,0.4375
Other (Men's),bayern ↔ bayern munich,509,0.3575638506876228
Other (Men's),barcelona ↔ manchester united,506,0.274703557312253
Other (Men's),manchester city ↔ reds,488,0.3360655737704918
Other (Men's),aston villa ↔ liverpool,478,0.4372384937238494
Other (Men's),everton ↔ liverpool,463,0.42116630669546434
Other (Men's),barcelona ↔ paris saint-germain,461,0.2299349240780911
Other (Men's),bayern munich ↔ real madrid,459,0.2679738562091503
Other (Men's),spurs ↔ tottenham,440,0.42045454545454547
Other (Men's),arsenal ↔ tottenham,430,0.41627906976744183
Other (Men's),everton ↔ manchester united,426,0.41784037558685444
Other (Men's),bayern munich ↔ manchester city,425,0.23294117647058823
Other (Men's),arsenal ↔ gunners,422,0.45023696682464454
Other (Men's),aston villa ↔ manchester city,420,0.44047619047619047
Other (Men's),juventus ↔ manchester united,420,0.23809523809523808
Other (Men's),liverpool ↔ newcastle,418,0.423444976076555
Other (Men's),everton ↔ manchester city,417,0.40047961630695444
Other (Men's),chelsea ↔ crystal palace,414,0.4178743961352657
Other (Men's),chelsea ↔ reds,401,0.28428927680798005
Other (Men's),bayern munich ↔ chelsea,400,0.2125
Other (Men's),barcelona ↔ psg,393,0.25190839694656486
Other (Men's),aston villa ↔ chelsea,391,0.41687979539641945
Other (Men's),crystal palace ↔ liverpool,382,0.4424083769633508
Other (Men's),bayern munich ↔ manchester united,379,0.23218997361477572
Other (Men's),brighton ↔ manchester united,372,0.4489247311827957
Other (Men's),brighton ↔ liverpool,368,0.43478260869565216
Other (Men's),manchester united ↔ paris saint-germain,366,0.23770491803278687
Other (Men's),manchester city ↔ newcastle,359,0.4373259052924791
Other (Men's),chelsea ↔ newcastle,355,0.428169014084507
Other (Men's),juventus ↔ real madrid,354,0.2627118644067797
Other (Men's),manchester united ↔ newcastle,351,0.4074074074074074
Other (Men's),arsenal ↔ barcelona,350,0.25142857142857145
Other (Men's),arsenal ↔ everton,349,0.4670487106017192
Other (Men's),aston villa ↔ manchester united,348,0.45689655172413796
Other (Men's),chelsea ↔ paris saint-germain,345,0.23768115942028986
Other (Men's),brighton ↔ chelsea,343,0.42857142857142855
Other (Men's),everton ↔ tottenham,342,0.4269005847953216
Other (Men's),crystal palace ↔ manchester united,337,0.45103857566765576
Other (Men's),crystal palace ↔ manchester city,335,0.4417910447761194
Other (Men's),barcelona ↔ juventus,334,0.24550898203592814
Other (Men's),ajax ↔ manchester united,329,0.3282674772036474
Other (Men's),man city ↔ manchester city,327,0.37920489296636084
Other (Men's),manchester city ↔ paris saint-germain,324,0.2654320987654321
Other (Men's),brentford ↔ manchester united,320,0.459375
Other (Men's),blues ↔ liverpool,317,0.2996845425867508
Other (Men's),burnley ↔ liverpool,314,0.42356687898089174
Other (Men's),borussia dortmund ↔ manchester city,313,0.3003194888178914
Other (Men's),fulham ↔ liverpool,312,0.46474358974358976
Other (Men's),brighton ↔ manchester city,312,0.4423076923076923
Other (Men's),brentford ↔ chelsea,311,0.42443729903536975
Other (Men's),manchester united ↔ reds,309,0.35275080906148865
Other (Men's),real madrid ↔ tottenham,306,0.24836601307189543
Other (Men's),barca ↔ real madrid,304,0.28289473684210525
Other (Men's),liverpool ↔ paris saint-germain,298,0.2550335570469799
Other (Men's),chelsea ↔ juventus,292,0.23972602739726026
Other (Men's),brentford ↔ liverpool,292,0.4657534246575342
Other (Men's),burnley ↔ chelsea,287,0.4076655052264808
Other (Men's),arsenal ↔ crystal palace,284,0.5070422535211268
Other (Men's),blues ↔ manchester city,283,0.3392226148409894
Other (Men's),barcelona ↔ borussia dortmund,278,0.19424460431654678
Other (Men's),leicester ↔ liverpool,275,0.39636363636363636
Other (Men's),chelsea ↔ spurs,270,0.4222222222222222
Other (Men's),liverpool ↔ man city,269,0.4052044609665427
Other (Men's),everton ↔ newcastle,269,0.45353159851301117
Other (Men's),chelsea ↔ leicester,267,0.37453183520599254
Other (Men's),burnley ↔ manchester city,266,0.42105263157894735
Other (Men's),bayern munich ↔ paris saint-germain,265,0.22264150943396227
Other (Men's),liverpool ↔ villarreal,261,0.31417624521072796
Other (Men's),newcastle ↔ tottenham,261,0.4367816091954023
Other (Men's),chelsea ↔ inter,257,0.26848249027237353
Other (Men's),borussia dortmund ↔ dortmund,255,0.30980392156862746
Other (Men's),juventus ↔ manchester city,254,0.2559055118110236
Other (Men's),bayern munich ↔ borussia dortmund,254,0.29133858267716534
Other (Men's),brighton ↔ tottenham,253,0.43873517786561267
Other (Men's),juventus ↔ liverpool,252,0.26587301587301587
Other (Men's),liverpool ↔ west ham,251,0.4262948207171315
Other (Men's),atletico madrid ↔ real madrid,251,0.3147410358565737
Other (Men's),aston villa ↔ everton,249,0.4939759036144578
Other (Men's),burnley ↔ manchester united,249,0.41767068273092367
Other (Men's),barcelona ↔ bayern,248,0.2661290322580645
Other (Men's),real madrid ↔ reds,245,0.31020408163265306
Other (Men's),arsenal ↔ newcastle,245,0.43673469387755104
Other (Men's),arsenal ↔ real madrid,244,0.26639344262295084
Other (Men's),brentford ↔ manchester city,244,0.4344262295081967
Other (Men's),liverpool ↔ nottingham forest,240,0.425
Other (Men's),atletico madrid ↔ barcelona,239,0.2594142259414226
Other (Men's),leicester ↔ manchester city,239,0.42677824267782427
Other (Men's),borussia dortmund ↔ liverpool,239,0.24686192468619247
Other (Men's),barcelona ↔ tottenham,239,0.2510460251046025
Other (Men's),aston villa ↔ newcastle,238,0.4495798319327731
Other (Men's),man utd ↔ manchester united,238,0.40336134453781514
Other (Men's),bayern ↔ liverpool,237,0.25738396624472576
Other (Men's),crystal palace ↔ everton,236,0.4745762711864407
Other (Men's),manchester united ↔ spurs,235,0.37872340425531914
Other (Men's),manchester city ↔ psg,233,0.27467811158798283
Other (Men's),fulham ↔ manchester city,233,0.43776824034334766
Other (Men's),arsenal ↔ aston villa,232,0.4870689655172414
Other (Men's),liverpool ↔ spurs,230,0.4391304347826087
Other (Men's),juventus ↔ paris saint-germain,230,0.21304347826086956
Other (Men's),barcelona ↔ sevilla,226,0.2610619469026549
Other (Men's),chelsea ↔ west ham,226,0.42035398230088494
