file,player_name,country,position,models_missed
Games/BBC/05_SRB_ENG_first_half.json,Aleksandar Mitrovic,SRB,Centre Forward,"en_core_web_lg, en_core_web_sm"
Games/BBC/05_SRB_ENG_first_half.json,Andrija Zivkovic,SRB,Right Winger,"en_core_web_lg, en_core_web_sm"
Games/BBC/05_SRB_ENG_first_half.json,Guehi,ENG,Centre Back,"en_core_web_lg, en_core_web_sm"
Games/BBC/05_SRB_ENG_first_half.json,Kostic,SRB,Left Midfield,"en_core_web_lg, en_core_web_sm"
Games/BBC/05_SRB_ENG_first_half.json,Lukic,SRB,Central Midfield,"en_core_web_lg, en_core_web_sm"
Games/BBC/05_SRB_ENG_first_half.json,Phil Foden,ENG,Right Winger,"en_core_web_lg, en_core_web_sm"
Games/BBC/05_SRB_ENG_first_half.json,Srdjan Babic,SRB,Centre Back,"en_core_web_lg, en_core_web_sm"
Games/BBC/05_SRB_ENG_second_half.json,Aleksandar Mitrovic,SRB,Centre Forward,"en_core_web_lg, en_core_web_sm"
Games/BBC/05_SRB_ENG_second_half.json,Bukayo Saka,ENG,Right Winger,"en_core_web_lg, en_core_web_sm"
Games/BBC/05_SRB_ENG_second_half.json,Conor Gallagher,ENG,Central Midfield,"en_core_web_lg, en_core_web_sm"
Games/BBC/05_SRB_ENG_second_half.json,Guehi,ENG,Centre Back,"en_core_web_lg, en_core_web_sm"
Games/BBC/05_SRB_ENG_second_half.json,Ilic,SRB,Central Midfield,"en_core_web_lg, en_core_web_sm"
Games/BBC/05_SRB_ENG_second_half.json,Kostic,SRB,Left Midfield,"en_core_web_lg, en_core_web_sm"
Games/BBC/05_SRB_ENG_second_half.json,Srdjan Babic,SRB,Centre Back,"en_core_web_lg, en_core_web_sm"
Games/BBC/07_POL_NED_first_half.json,Ake,NED,Centre Back,"en_core_web_lg, en_core_web_sm"
Games/BBC/07_POL_NED_first_half.json,Cody Gakpo,NED,Left Winger,"en_core_web_lg, en_core_web_sm"
Games/BBC/07_POL_NED_first_half.json,Denzel Dumfries,NED,Right Midfield,"en_core_web_lg, en_core_web_sm"
Games/BBC/07_POL_NED_first_half.json,Matthijs de Ligt,NED,Centre Back,"en_core_web_lg, en_core_web_sm"
Games/BBC/07_POL_NED_first_half.json,Memphis Depay,NED,Centre Forward,"en_core_web_lg, en_core_web_sm"
Games/BBC/07_POL_NED_first_half.json,Szczesny,POL,Goalkeeper,"en_core_web_lg, en_core_web_sm"
Games/BBC/07_POL_NED_first_half.json,Virgil van Dijk,NED,Centre Back,"en_core_web_lg, en_core_web_sm"
Games/BBC/07_POL_NED_second_half.json,Ake,NED,Centre Back,"en_core_web_lg, en_core_web_sm"
Games/BBC/07_POL_NED_second_half.json,Denzel Dumfries,NED,Right Midfield,"en_core_web_lg, en_core_web_sm"
Games/BBC/07_POL_NED_second_half.json,Donyell Malen,NED,Right Winger,"en_core_web_lg, en_core_web_sm"
Games/BBC/07_POL_NED_second_half.json,Jan Bednarek,POL,Centre Back,"en_core_web_lg, en_core_web_sm"
Games/BBC/07_POL_NED_second_half.json,Matthijs de Ligt,NED,Centre Back,"en_core_web_lg, en_core_web_sm"
Games/BBC/07_POL_NED_second_half.json,Szczesny,POL,Goalkeeper,"en_core_web_lg, en_core_web_sm"
Games/BBC/08_AUT_FRA_first_half.json,Dayot Upamecano,FRA,Centre Back,"en_core_web_lg, en_core_web_sm"
Games/BBC/08_AUT_FRA_first_half.json,Dembele,FRA,Right Winger,"en_core_web_lg, en_core_web_sm"
Games/BBC/08_AUT_FRA_first_half.json,Kante,FRA,Defensive Midfield,"en_core_web_lg, en_core_web_sm"
Games/BBC/08_AUT_FRA_first_half.json,Kevin Danso,AUT,Centre Back,"en_core_web_lg, en_core_web_sm"
Games/BBC/08_AUT_FRA_first_half.json,Mbappe,FRA,Centre Forward,"en_core_web_lg, en_core_web_sm"
Games/BBC/08_AUT_FRA_first_half.json,Phillipp Mwene,AUT,Left Back,"en_core_web_lg, en_core_web_sm"
Games/BBC/08_AUT_FRA_first_half.json,Tchouameni,FRA,Defensive Midfield,"en_core_web_lg, en_core_web_sm"
Games/BBC/08_AUT_FRA_first_half.json,Wober,AUT,Centre Back,"en_core_web_lg, en_core_web_sm"
Games/BBC/08_AUT_FRA_second_half.json,Dembele,FRA,Right Winger,"en_core_web_lg, en_core_web_sm"
Games/BBC/08_AUT_FRA_second_half.json,Kante,FRA,Defensive Midfield,"en_core_web_lg, en_core_web_sm"
Games/BBC/08_AUT_FRA_second_half.json,Kevin Danso,AUT,Centre Back,"en_core_web_lg, en_core_web_sm"
Games/BBC/08_AUT_FRA_second_half.json,Kounde,FRA,Centre Back,"en_core_web_lg, en_core_web_sm"
