file,source,gold_count,spacy_person_count,tp,fn,fp,model
Reports/BBC/01_GER_SCO.json,Reports,25,23,20,5,3,en_core_web_sm
Reports/BBC/02_HUN_SUI.json,Reports,20,15,15,5,0,en_core_web_sm
Reports/BBC/03_ESP_CRO.json,Reports,26,25,19,7,6,en_core_web_sm
Reports/BBC/04_ITA_ALB.json,Reports,21,20,18,3,2,en_core_web_sm
Reports/BBC/05_SRB_ENG.json,Reports,28,28,27,1,1,en_core_web_sm
Reports/BBC/06_SVN_DEN.json,Reports,26,28,24,2,4,en_core_web_sm
Reports/BBC/07_POL_NED.json,Reports,30,28,22,8,6,en_core_web_sm
Reports/BBC/08_AUT_FRA.json,Reports,28,24,18,10,6,en_core_web_sm
Reports/BBC/09_BEL_SVK.json,Reports,19,19,18,1,1,en_core_web_sm
Reports/BBC/10_ROU_UKR.json,Reports,17,14,11,6,3,en_core_web_sm
Reports/BBC/11_TUR_GEO.json,Reports,16,21,14,2,7,en_core_web_sm
Reports/BBC/12_POR_CZE.json,Reports,16,12,10,6,2,en_core_web_sm
Reports/BBC/13_SCO_SUI.json,Reports,27,35,26,1,9,en_core_web_sm
Reports/BBC/14_GER_HUN.json,Reports,27,21,20,7,1,en_core_web_sm
Reports/BBC/15_CRO_ALB.json,Reports,9,7,5,4,2,en_core_web_sm
Reports/BBC/16_ESP_ITA.json,Reports,23,24,21,2,3,en_core_web_sm
Reports/BBC/17_DEN_ENG.json,Reports,20,26,20,0,6,en_core_web_sm
Reports/BBC/18_SVN_SRB.json,Reports,18,18,15,3,3,en_core_web_sm
Reports/BBC/19_POL_AUT.json,Reports,18,20,16,2,4,en_core_web_sm
Reports/BBC/20_NED_FRA.json,Reports,20,10,8,12,2,en_core_web_sm
Reports/BBC/21_SVK_UKR.json,Reports,23,21,19,4,2,en_core_web_sm
Reports/BBC/22_BEL_ROU.json,Reports,19,14,11,8,3,en_core_web_sm
Reports/BBC/23_TUR_POR.json,Reports,29,27,25,4,2,en_core_web_sm
Reports/BBC/24_GEO_CZE.json,Reports,22,24,21,1,3,en_core_web_sm
Reports/BBC/25_SUI_GER.json,Reports,29,22,19,10,3,en_core_web_sm
Reports/BBC/26_SCO_HUN.json,Reports,19,21,18,1,3,en_core_web_sm
Reports/BBC/27_ALB_ESP.json,Reports,15,19,13,2,6,en_core_web_sm
Reports/BBC/28_CRO_ITA.json,Reports,10,9,8,2,1,en_core_web_sm
Reports/BBC/29_ENG_SVN.json,Reports,30,30,29,1,1,en_core_web_sm
Reports/BBC/30_DEN_SRB.json,Reports,20,20,16,4,4,en_core_web_sm
Reports/BBC/31_NED_AUT.json,Reports,14,13,10,4,3,en_core_web_sm
Reports/BBC/32_FRA_POL.json,Reports,23,20,16,7,4,en_core_web_sm
