2026-02-14 11:14:17,740 [INFO] [WOMEN] 24 existing articles, will skip duplicates.
2026-02-14 11:14:17,741 [INFO] [WOMEN] Query 1/41: "Women's Champions League" football...
2026-02-14 11:14:22,325 [INFO]   2023-01-01→2023-03-02: 5 URLs, 0 new
2026-02-14 11:14:31,704 [INFO]   2023-03-03→2023-05-02: 1 URLs, 0 new
2026-02-14 11:14:42,464 [INFO]   2023-05-03→2023-07-02: 2 URLs, 1 new
2026-02-14 11:14:50,391 [INFO]   2023-07-03→2023-09-01: 4 URLs, 0 new
2026-02-14 11:14:53,737 [INFO]   2023-09-02→2023-11-01: 5 URLs, 0 new
2026-02-14 11:15:01,809 [INFO]   2023-11-02→2024-01-01: 2 URLs, 0 new
2026-02-14 11:15:20,962 [INFO]   2024-03-03→2024-05-02: 6 URLs, 0 new
2026-02-14 11:15:27,615 [INFO]   2024-05-03→2024-07-02: 1 URLs, 0 new
2026-02-14 11:15:31,202 [INFO]   2024-07-03→2024-09-01: 1 URLs, 1 new
2026-02-14 11:15:35,038 [INFO]   2024-09-02→2024-11-01: 3 URLs, 0 new
2026-02-14 11:15:39,538 [INFO]   2024-11-02→2025-01-01: 2 URLs, 0 new
2026-02-14 11:15:48,709 [INFO]   2025-01-02→2025-03-03: 2 URLs, 0 new
2026-02-14 11:15:56,001 [INFO]   2025-03-04→2025-05-03: 3 URLs, 0 new
2026-02-14 11:15:59,516 [INFO]   2025-05-04→2025-07-03: 9 URLs, 0 new
2026-02-14 11:16:08,969 [INFO]   2025-07-04→2025-09-02: 2 URLs, 0 new
2026-02-14 11:16:17,057 [INFO]   2025-09-03→2025-11-02: 2 URLs, 0 new
2026-02-14 11:16:29,846 [INFO]   2025-11-03→2026-01-02: 2 URLs, 0 new
2026-02-14 11:16:37,851 [INFO]   2026-01-03→2026-02-13: 1 URLs, 1 new
2026-02-14 11:16:37,851 [INFO] [WOMEN] Query 2/41: "UEFA Women's Champions League" football...
2026-02-14 11:16:52,059 [INFO]   2023-01-01→2023-03-02: 2 URLs, 0 new
2026-02-14 11:17:08,109 [INFO]   2023-05-03→2023-07-02: 2 URLs, 0 new
2026-02-14 11:17:11,938 [INFO]   2023-07-03→2023-09-01: 4 URLs, 0 new
2026-02-14 11:17:17,081 [INFO]   2023-09-02→2023-11-01: 5 URLs, 0 new
2026-02-14 11:17:21,743 [INFO]   2023-11-02→2024-01-01: 2 URLs, 0 new
